epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.0,0.5468865036964417,1.8210924863815308,1e-04,0.19607843458652496,0.01302083395421505,0.0,0.4690103828907013,1.847090482711792,0.0,0.0
1,0.0,0.5757149457931519,1.7713202238082886,1e-04,0.0,0.0,0.0,0.5610518455505371,1.794100284576416,0.0,0.0
2,0.0,0.6004843711853027,1.7483800649642944,1e-04,0.0,0.0,0.0,0.5784083008766174,1.7662317752838135,0.0,0.0
3,0.0,0.6099638342857361,1.739156723022461,1e-04,0.0,0.0,0.0,0.5730657577514648,1.7938191890716553,0.0,0.0
4,0.0,0.6421734094619751,1.715439796447754,1e-04,0.0,0.0,0.0,0.6144636869430542,1.7447222471237183,0.0,0.0
5,0.0,0.6562985181808472,1.6930217742919922,1e-04,0.0,0.0,0.0,0.5585605502128601,1.77741277217865,0.0,0.0
6,0.0,0.6651411652565002,1.6773710250854492,1e-04,1.0,0.0026041667442768812,0.0,0.6027128100395203,1.744853138923645,0.0,0.0
7,0.0,0.6852498054504395,1.6511162519454956,1e-04,1.0,0.0078125,0.0,0.6154186725616455,1.7346755266189575,1.0,0.0117647061124444
8,0.0,0.6981598138809204,1.625531554222107,1e-04,1.0,0.0234375,0.0,0.6106159090995789,1.7360811233520508,1.0,0.0117647061124444
9,0.0,0.7024244666099548,1.6120054721832275,1e-04,1.0,0.02864583395421505,0.0,0.6384221315383911,1.6930022239685059,1.0,0.0117647061124444
10,0.0,0.7216542959213257,1.5785598754882812,1e-04,0.925000011920929,0.0481770858168602,0.0,0.6542560458183289,1.6740130186080933,0.75,0.03529411926865578
11,0.0,0.7316967248916626,1.556182622909546,1e-04,0.75,0.0625,0.0,0.656802773475647,1.6690871715545654,0.6000000238418579,0.03529411926865578
